#provid;title;r;g;b;r2;g2;b2;english;french;german;spanish
;d_crossed_scimitars;250;80;45;;;;Crossed Scimitars;;;
;d_balboa_warriors;255;255;255;;;;Balboa Warriors;;;
;d_canadian_rangers;255;125;125;;;;Canadian Rangers;;;
;d_russian_american;130;180;130;;;;Amerikanskaya Kompaniya;;;
;d_marine_highway;125;125;255;;;;Marine Highway;;;
;d_policemens_union;200;200;150;;;;Policemen's Union;;;
;d_mounties;246;66;66;;;;Mounties;;;
;d_company_nords;245;66;66;;;;Nordiques;;;
;d_knights_woodbine;222;100;116;;;;Knights of Woodbine;;;
;d_guecha_warrior;236;166;166;;;;Guecha Warriors;;;
;d_uel;225;170;145;;;;United Empire Loyalists;;;
;d_knights_of_labor;38;50;38;;;;;;;
;d_labrys_band;118;48;126;;;;;;;
;e_mexico;224;192;18;;;;Mexico;;;
;k_bajio;246;249;176;;;;Bajío;;;
;d_bajio_occidente;216;219;186;;;;Bajío Occidente;;;
;d_guanajuato;228;202;195;;;;Guanajuato;;;
;d_queretaro;215;224;246;;;;Querétaro;;;
;k_gran_chichimeca;201;41;24;;;;Gran Chichimeca;;;
;d_salado;80;5;4;;;;Salado;;;
;d_san_luis_potosi;224;52;116;;;;San Luis Potosí;;;
;d_zacatecas;159;20;25;;;;Zacatecas;;;
;k_jalisco;91;61;155;;;;Jalisco;;;
;d_jalisco;71;81;145;;;;Jalisco;;;
;d_costalegre;37;114;169;;;;Costalegre;;;
;d_colima;65;161;226;;;;Colima;;;
;k_mexico;254;226;69;;;;Mexico;;;
;d_hidalgo;184;126;49;;;;Hidalgo;;;
;d_huasteca;228;220;39;;;;Huasteca;;;
;d_edomex;221;126;25;;;;Edomex;;;
;d_mexico;239;215;58;;;;Mexico;;;
;d_olmeca;184;141;79;;;;Olmeca;;;
;d_puebla;180;145;13;;;;Puebla;;;
;d_veracruz;216;208;129;;;;Veracruz;;;
;k_michoacan;15;175;111;;;;Michoacán;;;
;d_michoacan;25;205;81;;;;Michoacán;;;
;d_costa_grande;28;228;254;;;;Costa Grande;;;
;d_tierra_caliente;56;186;151;;;;Tierra Caliente;;;
;k_mixteca;157;93;143;;;;Mixteca;;;
;d_mixteca;157;83;153;;;;Mixteca;;;
;d_costa_chica;154;131;171;;;;Costa Chica;;;
;d_guerrero;205;100;155;;;;;;;
;k_oaxaca;67;145;161;;;;Oaxaca;;;
;d_oaxaca;87;125;171;;;;Oaxaca;;;
;d_istmo;198;234;239;;;;Istmo;;;
;k_papal_state;255;249;198;;;;;;;
;k_ursuline;198;249;255;;;;Ursuline See;;;
;k_evangelical;183;60;155;;;;Ecumenical Church Council;;;
;d_consumerist;160;190;60;;;;National Mall;;;
;k_high_church;200;50;200;;;;;;;
;d_norse_pagan_reformed;155;155;235;;;;The Fylkirate;Les Fylkirate;Das Fylkirat;El Fylkirate
;d_occultist_reformed;60;120;100;;;;The Supreme Orient;;;
;k_rust_cultist;155;155;235;;;;;;;
;d_thelemic_reformed;192;192;192;;;;Astron Argiron;;;
;d_revelationist_reformed;150;210;74;;;;Righteous Assembly;;;
;d_trailwalker_reformed;73;47;36;;;;The Long Trail;;;
;d_americanist;60;59;110;;;;The Presidency;;;
;d_libertarian;103;146;103;;;;First Order of Our Lady Liberty;;;
;d_electoral_college;60;59;110;;;;Electoral College;;;
;d_quorum_of_the_twelve;31;69;224;;;;The Quorum of the Twelve;;;
;d_jewish;0;80;255;;;;The Grand Rabbinate;;;
;d_nestorian;180;137;97;;;;;;;
;d_celtic_pagan_reformed;122;165;70;;;;The Circle of Druids;Le Cercle des Druides;;
;d_aria_de_machete_reformed;160;150;20;;;;;;;
;d_strangite;224;204;31;;;;Strangite Presidency;;;
;d_woolleyite;204;140;153;;;;Woolleyite Presidency;;;
;d_neogodbeite;140;153;204;;;;;;;
;d_atomicist;191;255;51;;;;The Atomic Energy Commission;;;
;d_apostolic;205;199;148;;;;Manaus;;;
;d_postadventist;47;84;126;;;;The General Conference;;;
;d_midewiwin_reformed;217;153;61;;;;The Great Longhouse;;;
;d_raven_tales_reformed;179;0;0;;;;The Keeper of the Totem;;;
;d_monetarist;160;190;60;;;;Federal Reserve;;;
;k_house_of_tradition;0;140;0;;;;;;;
;d_imamite;0;140;0;;;;The Supreme Islamic Majlis;;;
;d_orientalist;0;140;140;;;;The Grand Sultanate;;;
;d_revivalist;0;0;0;;;;The Revivalist Caliphate;;;
;d_alawiyya;0;140;0;;;;The Alawiyya Imamate;;;
;d_misrist;120;0;120;;;;The Supreme Priesthood of Allah;;;
;d_qingzhen;0;168;107;;;;;;;
;d_falling_star;225;200;70;;;;The Unity Province;;;
;d_exovedate;155;155;235;;;;The Exovedate Presidency;;;
;d_aphite;255;191;51;;;;The Atomic Priesthood;;;
;d_nousthreskeia;204;229;255;;;;Great Immortal Science;;;
;k_sagrado_corazon;240;40;40;;;;The Archdiocese of Mexico;;;
;d_qabantajik;51;128;51;;;;;;;
;d_sol_invicta;230;153;0;;;;;;;
;d_mictlantec;204;204;204;;;;;;;
;k_celeste;175;180;25;;;;;;;
;d_patria_grande;179;179;102;;;;;;;
;e_seven_seas;111;222;252;;;;Seven Seas;;;
;k_grand_bermuda;200;25;45;;;;Grand Bermuda;;;
;d_bermuda;234;27;76;;;;Bermuda;;;
;k_grand_equinox;100;225;245;;;;Grand Equinox;;;
;d_equinox_isles;121;225;194;;;;Equinox Isles;;;
;e_great_lakes;153;189;234;;;;The Great Lakes;;;
;k_michigan;48;83;224;;;;Michigan;;;
;d_toledo_strip;159;53;133;;;;The Strip;;;
;d_detroit;135;170;185;;;;Detroit;;;
;d_saginaw;40;65;11;;;;Saginaw;;;
;d_michiana;157;230;175;;;;Michiana;;;
;d_midmichigan;189;53;77;;;;Midmichigan;;;
;d_west_michigan;115;96;125;;;;West Michigan;;;
;d_upnorth;87;125;83;;;;Upnorth;;;
;k_ohio;193;19;61;;;;Ohio;;;
;d_ohio;190;40;65;;;;Scioto;;;
;d_reserve;238;145;67;;;;The Reserve;;;
;d_maumee;33;54;96;;;;Maumee;;;
;d_cincy;238;81;28;;;;Cincy;;;
;d_miami_valley;253;244;134;;;;Miami Valley;;;
;d_upper_ohio;85;195;190;;;;Upper Ohio;;;
;k_chicagoland;121;220;227;;;;Chicagoland;;;
;d_cook;122;85;87;;;;;;;
;d_outer_chicagoland;202;101;167;;;;Outer Chicagoland;;;
;d_indianapolis;157;162;178;;;;Indianapolis;;;
;d_illinois;140;122;79;;;;Illinois;;;
;d_wabash;150;122;157;;;;Wabash;;;
;d_coulee;39;197;47;;;;Coulee;;;
;d_badgerland;112;152;226;;;;Badgerland;;;
;k_superior;135;153;182;;;;Superior;;;
;d_soo;187;196;130;;;;Soo;;;
;d_marquette;201;190;194;;;;Marquette;;;
;d_copperland;208;125;64;;;;Copperland;;;
;d_green_bay;96;145;51;;;;Green Bay;;;
;d_northwoods;147;164;67;;;;The Northwoods;;;
;d_superior;121;188;196;;;;Superior;;;
;d_chippewa;201;98;86;;;;Chippewa;;;
;d_arrowhead;190;65;3;;;;Arrowhead;;;
;d_twin_cities;108;167;255;;;;Twin Cities;;;
;k_allegheny;255;201;14;;;;Alleghenia;;;
;d_niagara;128;64;64;;;;Niagara;;;
;d_wilds;53;128;20;;;;The Wilds;;;
;d_westsylvania;205;170;35;;;;Westsylvania;;;
;e_the_guyanas;181;40;89;;;;The Guyanas;;;
;k_guyana;203;40;69;;;;Guyana;Guyana;Guyana;Guyana
;d_georgetown;234;39;49;;;;Georgetown;;;
;d_abak;165;116;174;;;;Abak;;;
;d_cayenne;53;78;69;;;;Cayenne;Cayenne;Cayenne;Cayenne
;d_calcoene;89;100;99;;;;;;;
;d_suriname;108;165;174;;;;Suriname;Suriname;Suriname;Suriname
;d_sipaliwini;156;162;193;;;;;;;
;k_bolivar;152;173;137;;;;Bolívar;Bolívar;Bolívar;Bolívar
;d_angostura;172;153;147;;;;Angostura;Angostura;Angostura;Angostura
;d_caroni;151;87;139;;;;Caroní;Caroní;Caroní;Caroní
;d_gran_sabana;40;134;108;;;;Gran Sabana;;;
;d_delta_amacuro;168;184;108;;;;Delta Amacuro;Delta Amacuro;Delta Amacuro;Delta Amacuro
;k_roraima;83;195;87;;;;Roraima;;;
;d_roraima;72;193;57;;;;Roraima;;;
;e_heartland;217;164;0;;;;The Heartland;;;
;k_iowa;188;194;65;;;;Iowa;;;
;d_driftless;65;65;136;;;;Driftless;;;
;d_quad_cities;193;220;39;;;;The Quad Cities;;;
;d_iowa;227;221;187;;;;Iowa;;;
;d_moingona;201;19;135;;;;Moingona;;;
;k_ozarks;162;181;147;;;;The Ozarks;;;
;d_arkansas;173;39;73;;;;Arkansas;;;
;d_turner_ward_knob;152;203;75;;;;Turner Ward Knob;;;
;d_arkansas_delta;133;43;187;;;;Arkansas Delta;;;
;d_timberland;134;156;162;;;;Timberland;;;
;d_salem;132;23;19;;;;Salem;;;
;d_sequoyah;22;202;44;;;;Sequoyah;;;
;k_platte;190;225;111;;;;Platte;;;
;d_kansas;74;122;73;;;;Kansas;;;
;d_verdigris;62;85;62;;;;;;;
;d_chisholm;80;92;184;;;;Chisholm;;;
;d_smoky_hills;105;151;72;;;;;;;
;d_nebraska;151;138;45;;;;Nebraska;;;
;d_kickatus;255;191;216;;;;Kickatus;;;
;k_missouri;130;124;85;;;;Missouri;;;
;d_gateway;205;95;98;;;;The Gateway;;;
;d_great_river;143;184;20;;;;Great River;;;
;d_boonslick;0;141;182;;;;Boonslick;;;
;d_lead_belt;138;121;149;;;;Lead Belt;;;
;d_twain;143;48;111;;;;Twain;;;
;d_chariton;191;117;38;;;;Chariton;;;
;d_forgottonia;112;123;76;;;;Forgottonia;;;
;e_lone_star;4;144;178;;;;The Lone Star;;;
;k_rio_grande;154;163;201;;;;Rio Grande;;;
;d_alamo;163;132;174;;;;Alamo;;;
;d_corpus_christi;81;96;149;;;;Corpus;;;
;d_rio_grande_valley;100;100;0;;;;Rio Grande Valley;;;
;d_transpecos;119;197;14;;;;Transpecos;;;
;k_jacinto;253;90;72;;;;Jacinto;;;
;d_neches;85;78;105;;;;Neches;;;
;d_houston;190;137;29;;;;Houston;;;
;d_metroplex;90;37;29;;;;Metroplex;;;
;d_balcones;122;184;82;;;;Balcones;;;
;d_arklatex;212;225;249;;;;Arklatex;;;
;k_comancheria;216;158;73;;;;Comancheria;;;
;d_abilene;232;180;0;;;;Abilene;;;
;d_estacado;158;58;43;;;;Estacado;;;
;d_amarillo;255;247;147;;;;Amarillo;;;
;d_washita;2;202;177;;;;Washita;;;
;d_oklahoma;64;54;29;;;;Oklahoma;;;
;d_outlet;200;15;15;;;;The Outlet;;;
;d_new_mexico;45;98;223;;;;New Mexico;;;
;d_mesilla;106;20;21;;;;;;;
;e_the_rockies;120;90;40;;;;The Rockies;;;
;k_colorado;108;32;85;;;;Colorado;;;
;d_boulder;107;218;154;;;;Boulder;;;
;d_denver;211;239;245;;;;Denver;;;
;d_pueblo;158;121;7;;;;Pueblo;;;
;d_western_slope;193;74;40;;;;The Western Slope;;;
;k_deseret;116;170;252;;;;Deseret;;;
;d_wasatch;71;109;243;;;;Wasatch;;;
;d_green_river;34;170;96;;;;Green River;;;
;d_sevier;188;24;86;;;;;;;
;k_yellowstone;252;216;0;;;;Yellowstone;;;
;d_sweetwater;152;26;38;;;;Sweetwater;;;
;d_highland_springs;118;190;213;;;;Highland Springs;;;
;d_beartooth;82;115;161;;;;Beartooth;;;
;d_wyoming;0;82;165;;;;Wyoming;;;
;k_idaho;88;7;3;;;;Idaho;;;
;d_treasure_valley;151;87;78;;;;;;;
;d_west_snake;255;201;49;;;;West Snake;;;
;d_nez_perce;221;3;3;;;;;;;
;d_east_snake;2;167;91;;;;East Snake;;;
;d_northern_basin;101;45;138;;;;Northern Basin;;;
;d_silver_bow;0;47;122;;;;Silver Bow;;;
;d_highdesert;237;172;78;;;;Highdesert;;;
;k_navajoland;183;163;113;;;;;;;
;d_navajoland;213;173;143;;;;Navajoland;;;
;d_hopi;45;52;193;;;;Hopi;;;
;d_apacheria;175;118;196;;;;Apacheria;;;
;e_thunderland;213;200;75;;;;Thunderland;;;
;k_big_sky;20;38;126;;;;Big Sky;;;
;d_golden_valley;253;187;95;;;;Golden Valley;;;
;d_custer;152;105;71;;;;Custer;;;
;d_peck_lake;84;233;233;;;;Peck Lake;;;
;d_chouteau;237;27;36;;;;Chouteau;;;
;d_glacier;75;122;147;;;;Glacier;;;
;d_deer_lodge;232;224;120;;;;Deer Lodge;;;
;k_prairieland;225;153;10;;;;Prairieland;;;
;d_assiniboia;255;255;255;;;;Assiniboia;;;
;d_palliser;35;153;112;;;;Palliser;;;
;d_saskatchewan;205;225;255;;;;Saskatchewan;;;
;d_chinook;59;100;120;;;;Chinook;;;
;d_great_bow;23;128;200;;;;Great Bow;;;
;d_alberta;54;160;244;;;;Alberta;;;
;k_manitoba;150;177;50;;;;Manitoba;;;
;d_winnipeg;71;33;0;;;;Winnipeg;;;
;d_kenora;215;139;114;;;;Kenora;;;
;d_parkland;215;139;114;;;;Parkland;;;
;k_lakotah;165;0;33;;;;Lakotah;;;
;d_minnesota;75;0;130;;;;Minnesota;;;
;d_pembina;159;206;170;;;;Pembina;;;
;d_yankton;40;130;151;;;;Yankton;;;
;d_coteau;16;16;90;;;;;;;
;d_wichiyena;214;208;152;;;;Wichiyena;;;
;d_brule;149;50;17;;;;Brulé;;;
;d_badlands;107;81;62;;;;The Badlands;;;
;d_sheyenne;233;237;65;;;;Sheyenne;;;
;d_bismarck;75;130;135;;;;Bismarck;;;
;d_roosevelt;90;16;16;;;;;;;
;e_cuba;134;159;159;;;;Cuban Empire;;;
;e_west_indian;50;255;75;;;;;;;
;e_haiti;10;100;140;;;;Haitian Empire;;;
;e_dominica;10;100;140;;;;Dominican Empire;;;
;e_puerto_rico;137;52;100;;;;Puerto Rican Empire;;;
;e_nuyorican;237;252;100;;;;Nuyorican Empire;;;
;e_cajun;0;74;127;;;;Cajun Empire;;;
;e_creole;96;96;215;;;;Creole Empire;;;
;e_tuskegean;115;105;99;;;;Tuskegean Empire;;;
;e_gullah;165;245;159;;;;Gullah Empire;;;
;e_quebec;90;190;210;;;;Québecois Empire;;;
;e_acadien;90;220;150;;;;Acadien Empire;;;
;e_appalachia;110;167;28;;;;Appalachian Empire;;;
;e_melungeon;215;176;61;;;;Melungeon Empire;;;
;e_yankee;101;44;92;;;;Yankee Empire;;;
;e_northlander;173;97;100;;;;Nordic Empire;;;
;e_yooper;193;196;130;;;;Yooper Empire;;;
;e_rostmann;100;105;185;;;;Rust Empire;;;
;e_chicagoan;101;200;250;;;;Chicagoan Empire;;;
;e_lacustrine;101;100;200;;;;Lacustrine Empire;;;
;e_gulfard;175;108;104;;;;Gulfard Empire;;;
;e_dellsman;121;108;227;;;;Dellsman Empire;;;
;e_grangelander;204;200;27;;;;Grangelander Empire;;;
;e_gothamite;102;128;255;;;;Gothamite Empire;;;
;e_hudsonian;223;29;10;;;;Hudsonian Empire;;;
;e_delawarean;5;124;108;;;;Delawarean Empire;;;
;e_riverlander;255;184;0;;;;Riverlander Empire;;;
;e_maritimer;131;2;168;;;;Maritimer Empire;;;
;e_beltway;114;221;225;;;;Beltway Empire;;;
;e_deitsch;195;205;185;;;;Deitscher Reich;;;
;e_ojibwe;37;219;29;;;;Ojibwe Empire;;;
;e_ozark;230;199;20;;;;Ozark Empire;;;
;e_garinagu;38;140;140;;;;Garinaguan Empire;;;
;e_nahua;229;101;25;;;;Nahuan Empire;;;
;e_lacandon;50;204;75;;;;Selva Lacandóna;;;
;e_quichean;70;224;115;;;;El Quiché;;;
;e_cholano;60;254;85;;;;Marez;;;
;e_hawaiian;42;69;137;;;;Hawaiian Empire;;;
;e_cree;90;105;200;;;;Cree Empire;;;
;e_caraqueno;90;105;250;;;;Caracas Grande;;;
;e_bolivarense;190;205;50;;;;Bolivarense Empire;;;
;e_costeno;10;205;50;;;;Costeño Empire;;;
;e_siskiyouan;190;155;250;;;;;;;
;e_cayennais;190;195;200;;;;Cayennais Empire;;;
;e_centrano;10;55;200;;;;;;;
;e_gocho;250;105;100;;;;Gocho Empire;;;
;e_guyanese;220;55;80;;;;Guyanese Empire;;;
;e_haida;50;135;230;;;;Haida Empire;;;
;e_inca;220;155;200;;;;Inca Empire;;;
;e_istmeno;80;205;220;;;;Istmeño Empire;;;
;e_llanero;40;205;100;;;;Llanero Empire;;;
;e_muisca;190;165;50;;;;Muisca Empire;;;
;e_paisa;230;220;70;;;;Paisa Empire;;;
;e_cascadian;190;55;200;;;;Cascadian Empire;;;
;e_chocoano;40;215;90;;;;Chocoano Empire;;;
;e_shuswap;40;155;230;;;;Shuswap Empire;;;
;e_nez_perce;40;155;230;;;;Nez Perce Empire;;;
;e_sranan;90;235;80;;;;Sranan Empire;;;
;e_truenonato;190;35;180;;;;Truenonato Empire;;;
;e_utahn;190;205;230;;;;Utahn Empire;;;
;e_wayuu;220;235;80;;;;Wayuu Empire;;;
;e_canuck;90;235;80;;;;Canuck Empire;;;
;e_cherokee;190;135;80;;;;Cherokee Empire;;;
;e_chilango;230;235;120;;;;Chilango Empire;;;
;e_chino;190;135;180;;;;Chino Empire;;;
;e_comanche;90;15;180;;;;Comanche Empire;;;
;e_jarocho;130;135;50;;;;Jarocho Empire;;;
;e_mixtec;190;135;180;;;;Mixtec Empire;;;
;e_neomexicano;150;245;150;;;;Neomexicano Empire;;;
;e_norteno;230;235;80;;;;Norteño Empire;;;
;e_paiute;220;235;180;;;;Paiute Empire;;;
;e_purepecha;230;35;210;;;;Purépecha Empire;;;
;e_raramuri;110;115;210;;;;Rarámuri Empire;;;
;e_sioux;230;35;30;;;;Sioux Empire;;;
;e_tapatio;200;195;100;;;;Tapatio Empire;;;
;e_texas;190;200;30;;;;Texan Empire;;;
;e_tejano;130;35;110;;;;Tejano Empire;;;
;e_yucateco;50;135;210;;;;Yucateco Empire;;;
;e_zapotec;50;135;150;;;;Zapotec Empire;;;
;e_algonquin;150;150;150;;;;Algonquin Empire;;;
;e_arixan;150;15;15;;;;Copper Empire;;;
;e_coloradan;180;55;50;;;;Coloradan Empire;;;
;e_motowner;180;55;150;;;;Motowner Empire;;;
;e_mountainer;150;105;100;;;;Mountainer Empire;;;
;e_muscogee;50;55;150;;;;Muscogee Empire;;;
;e_ontarian;50;195;50;;;;Ontarian Empire;;;
;e_sonorense;130;130;10;;;;Sonorense Empire;;;
;e_angeleno;170;185;40;;;;Angeleno Empire;;;
;e_bayfolk;150;35;150;;;;Bayfolk Empire;;;
;e_calaotian;170;55;180;;;;Calaotian Empire;;;
;e_californio;190;195;150;;;;Californio Empire;;;
;e_hopi;150;165;170;;;;Hopi Empire;;;
;e_innu;210;195;190;;;;Innu Empire;;;
;e_iyyu;255;255;255;;;;Eeyou Istchee;;;
;e_inuit;180;215;210;;;;Inuit Empire;;;
;e_metis_confederacy;25;75;180;;;;Métis Confederacy;;;
;e_mikmaq;200;225;220;;;;Mi'kmaq Empire;;;
;e_navajo;190;205;220;;;;Navajo Empire;;;
;e_newfie;50;235;250;;;;Newfie Empire;;;
;e_valleyan;80;195;50;;;;Valleyan Empire;;;
;e_papiamen;180;55;50;;;;Papiamen Empire;;;
;e_venteux;150;155;190;;;;Venteux Empire;;;
;e_kriol;10;155;50;;;;Kriol Empire;;;
;e_raizal;80;55;150;;;;Raizal Empire;;;
;e_bermudian;180;75;50;;;;Bermudian Empire;;;
;e_calypsonian;80;155;250;;;;Calypsonian Empire;;;
;e_miskito;220;25;20;;;;Miskito Empire;;;
;e_amazonense;50;225;90;;;;Amazonia;;;
;e_moroccan;60;225;40;;;;Al-Magrib;;;
;e_nigerian;220;125;50;;;;West Nigeria;;;
;e_hong_konger;220;125;50;;;;Greater Hong Kong;;;
;e_kinh;230;25;50;;;;New Vietnam;;;
;e_ozlander;80;50;50;;;;Dreamland;;;
;e_singaporean;80;120;250;;;;New Singapore;;;
;e_tagalog;40;180;90;;;;Philippine America;;;
;e_strine;0;0;139;;;;;;;
;e_brethren;65;35;25;;;;High Seas Empire;;;
;e_yiddish;65;30;40;;;;Yidishreich;;;
;e_neoladino;70;30;50;;;;Neoladino Empire;;;
;e_iroquois;89;62;182;;;;Iroquois Confederacy;;;
;e_carpetbagger;210;57;28;;;;Carpetbagger Empire;;;
;e_new_english;172;22;22;;;;New Britannia;;;
;e_yanquito;79;75;70;;;;Unincorporated Territories;;;
;e_ontarois;0;99;56;;;;Ontarois Empire;;;
;e_gwladfeg;135;25;3;;;;Y Wladfa;;;
;e_chileno;200;25;25;;;;;;;
;e_afrocubano;112;26;77;;;;Lucumí Empire;;;
;e_prairielander;198;15;17;;;;Prairieland;;;
;e_liberian;204;12;47;;;;New Liberia;;;
;e_verdiano;0;255;0;;;;;;;
;e_maori;66;56;255;;;;New Aotearoa;;;
;e_saulteaux;153;191;179;;;;Saulteaux Empire;;;
;e_blackfoot;76;76;102;;;;Blackfoot Confederacy;;;
;e_apache;175;118;196;;;;Apacheria;;;
;e_crow;205;102;102;;;;Crow Empire;;;
;e_cheyenne;102;102;205;;;;;;;
;e_sheban;205;102;102;;;;Sheba;;;
;e_plautdietsch;102;102;77;;;;Plautdietsch Empire;;;
;e_wakashan;38;128;128;;;;Wakashan Empire;;;
;e_ktunaxa;128;77;77;;;;Ktunaxa Empire;;;
;e_dakelh;128;77;191;;;;Dakelh Empire;;;
;e_anjalusi;0;102;0;;;;;;;
;e_tehrangeleno;178;255;102;;;;Aryanshahr;;;
;e_prodnanici;0;102;204;;;;Automan Empire;;;
;e_neomoor;255;255;51;;;;al-Hejira;;;
;e_chiraqi;224;224;224;;;;Chiraqi;;;
;e_filastino;180;255;180;;;;Nueva Palestina;;;
;e_alaskan;65;65;180;;;;Alaskan Empire;;;
;e_tlingit;65;120;180;;;;Tlingit Empire;;;
;e_rouillard;153;204;239;;;;Pays-d'en-haut;;;
;e_omedulac;128;153;179;;;;Outrefleuve;;;
;e_yukoner;38;179;89;;;;Greater Yukon;;;
;e_dene;217;64;115;;;;Great Athabaska;;;
;e_tsimshianic;38;140;179;;;;Tsimshianic Empire;;;
;e_battleborn;124;83;76;;;;Silver Empire;;;
;e_inlander;0;74;127;;;;;;;
;e_lokono;50;204;75;;;;Lokono Empire;;;
;e_rolo;180;60;180;;;;Rolo Empire;;;
;e_valluno;180;60;180;;;;Valluno Empire;;;
;e_catawba;60;60;180;;;;;;;
;e_adelsverer;80;55;150;;;;;;;
;e_zion;136;190;255;;;;Zion;;;
;e_iron_confederacy;70;70;70;;;;Iron Confederacy;;;
;e_new_south;150;105;56;;;;;;;
;k_jersey;13;103;147;;;;Jersey;;;
;k_vermont;51;136;70;;;;Vermont;;;
;k_grand_trinidad;106;140;80;;;;Grand Trinidad;Grand Trinidad;Grand Trinidad;Grand Trinidad
;k_maine;222;232;249;;;;Maine;;;
;k_wisconsin;209;247;121;;;;Wisconsin;;;
;k_new_mexico;231;229;36;;;;New Mexico;;;
;k_s_mart;142;142;142;;;;S-Mart;;;
;k_colima;45;141;236;;;;Colima;;;
;d_erie;190;110;70;;;;Erie;;;
;d_philadelphia;50;150;200;;;;Philadelphia;;;
;d_watauga;255;209;187;;;;Watauga;;;
;d_galveston;220;187;35;;;;;;;
;d_chesapeake;52;52;250;;;;Chesapeake;;;
;d_longhorns;203;87;39;;;;Longhorn Realm;;;
;d_aggies;80;0;0;;;;Aggies;;;
;d_texoma;41;75;164;;;;Texoma;;;
;d_siouxland;102;187;193;;;;Siouxland;;;
;d_rhode_island;216;239;227;;;;Rhode Island;;;
;d_channel_islands;189;187;190;;;;Channel Islands;;;
;d_nantucket;31;126;162;;;;Nantucket;;;
;k_northern_protectorate;112;219;112;;;;;;;
;k_eastern_protectorate;218;165;32;;;;;;;
;k_haida;60;60;255;;;;Haida;;;
;k_acadia;49;70;133;;;;Acadia;;;
;k_dakota;165;0;33;;;;;;;
;k_northland;165;0;33;;;;;;;
;k_redcoat_outpost;202;26;26;;;;Redcoat Colony;;;
;d_viceroy_host;202;26;26;;;;Viceroy Host;;;
;d_renovator_host;202;26;26;;;;Renovator Host;;;
;k_revivalist_invasion;25;25;25;;;;Revivalist Invasion Force;;;
;d_tenesi;199;76;28;;;;Tenesi;;;
;d_nogad;141;55;29;;;;Nogad;;;
;d_migonids;199;214;112;;;;The Migonids;;;
;d_the_mouse;173;58;90;;;;The Mouse;;;
;d_geeyem;101;159;224;;;;Geeyem;;;
;d_badgerlings;222;71;109;;;;Badgerlings;;;
;d_newopies;45;155;82;;;;Newopies;;;
;d_snowbirds;240;240;240;;;;Snowbirds;;;
;d_airmen;109;191;255;;;;Airmen;;;
;d_beargrease;139;82;73;;;;Beargrease;;;
;d_saucers;177;217;43;;;;The Saucers;;;
;d_pharaohs;73;86;122;;;;The Pharaohs;;;
;e_estelaria;218;165;32;;;;Estelaria;;;
;e_redcoat_dominion;202;26;26;;;;Redcoat Dominion;;;
;e_playercoledokko;238;238;238;;;;Beikoku;;;
;e_edokko;238;238;238;;;;Beikoku;;;
;e_playercolnovorusskiy;238;10;10;;;;New Russia;;;
;e_novorusskiy;238;10;10;;;;New Russia;;;
;d_blackfoot;76;76;102;;;;Blackfoot;;;
;d_crow;205;102;102;;;;;;;
;d_cheyenne;102;102;205;;;;;;;
;e_venezuela;126;90;205;;;;;;;
;k_venezuela;17;79;190;;;;Venezuela;Venezuela;Venezuela;Venezuela
;d_gran_caracas;17;92;210;;;;Gran Caracas;;;
;d_anzoategui;122;99;220;;;;Anzoátegui;Anzoátegui;Anzoátegui;Anzoátegui
;d_falcon;51;120;247;;;;Falcón;Falcón;Falcón;Falcón
;d_lara;205;204;218;;;;Lara;Lara;Lara;Lara
;d_monagas;79;72;128;;;;Monagas;Monagas;Monagas;Monagas
;d_sucre;175;192;228;;;;Sucre;Sucre;Sucre;Sucre
;k_zulia;134;32;176;;;;Zulia;Zulia;Zulia;Zulia
;d_zulia;156;146;185;;;;Zulia;Zulia;Zulia;Zulia
;d_aguas;104;72;226;;;;Aguas;Aguas;Aguas;Aguas
;d_guajira;206;65;78;;;;Guajira;Guajira;Guajira;Guajira
;d_los_andes;131;54;63;;;;Los Andes;Los Andes;Los Andes;Los Andes
;k_zamora;101;172;183;;;;Zamora;;;
;d_barinas;81;145;60;;;;Barinas;Barinas;Barinas;Barinas
;d_portuguesa;51;161;157;;;;Portuguesa;;;
;d_cojedes;44;137;182;;;;Cojedes;;;
;d_guarico;45;105;110;;;;Guárico;Guárico;Guárico;Guárico
;k_los_llanos;91;195;60;;;;Los Llanos;Los Llanos;Los Llanos;Los Llanos
;d_casanare;42;156;92;;;;Casanare;;;
;d_apure;92;136;147;;;;Apure;Apure;Apure;Apure
;d_vichada;96;231;163;;;;Vichada;;;
;d_meta;57;202;140;;;;Meta;;;
;d_guainia;73;189;100;;;;Guainía;;;
;e_yucatan;113;235;253;;;;Yucatán;;;
;k_yucatan;103;225;253;;;;Yucatán;;;
;d_quintana_roo;72;179;177;;;;Quintana Roo;;;
;d_chan_santa_cruz;100;190;200;;;;Chan Santa Cruz;;;
;d_campeche;83;195;243;;;;Campeche;;;
;d_laguna_de_terminos;80;100;240;;;;Laguna de Términos;;;
;d_tabasco;89;128;120;;;;Tabasco;;;
;d_yucatan;72;134;180;;;;Yucatán;;;
;d_mayapan;100;220;230;;;;Mayapán;;;
;k_chiapas;188;47;40;;;;Chiapas;;;
;d_zapata;188;57;50;;;;Zapata;;;
;d_chiapas;137;39;32;;;;Chiapas;;;
;k_peten;11;192;146;;;;Petén;;;
;d_peten;21;192;166;;;;Petén;;;
;d_belize;47;154;123;;;;Belize;;;
;d_lacandon;51;242;196;;;;Lacandón;;;
;c_americanist_vp;160;59;110;;;;Vice Presidency;;;
